,Longitude,Latitude,CBA,UTM_X,UTM_Y,Distance,Regional,Residual
0,92.63489795918368,23.07326530612245,-56.91972042423327,9826645.21496021,7055932.794443611,18993.19061076834,-56.63478882625352,-0.28493159797974954
1,92.64387755102041,23.08591836734694,-56.98338030149219,9824859.148583762,7059281.699009132,22788.608228111858,-57.030413682458885,0.047033380966695404
2,92.65285714285714,23.09857142857143,-57.56335823393932,9823071.684130989,7062628.6396258,26582.951473184923,-57.22519300220636,-0.3381652317329582
3,92.66183673469388,23.11122448979592,-58.6609161656905,9821282.8242594,7065973.615903851,30376.219976850694,-57.45596516213684,-1.20495100355366
4,92.67081632653061,23.12387755102041,-60.09149881643353,9819492.571624862,7069316.627457918,34168.41337198458,-57.899822657108636,-2.191676159324892
5,92.67979591836735,23.1365306122449,-61.54163302676798,9817700.928881604,7072657.673907003,37959.53129344475,-58.626751161426135,-2.9148818653418473
6,92.68877551020408,23.149183673469388,-62.66190681677574,9815907.898682207,7075996.754874494,41749.5733780935,-59.58378222684988,-3.0781245899258636
7,92.69775510204082,23.16183673469388,-63.16774207861565,9814113.483677585,7079333.8699881295,45538.53926477921,-60.61450918970379,-2.5532328889118645
8,92.70673469387755,23.17448979591837,-62.92264563480062,9812317.686516995,7082669.018880018,49326.428594346384,-61.507723756514,-1.41492187828662
9,92.71571428571428,23.18714285714286,-61.98038873777924,9810520.509848023,7086002.201186606,53113.241009616744,-62.06096918519546,0.08058044741621728
10,92.72469387755102,23.199795918367347,-60.575853694366025,9808721.956316577,7089333.416548688,56898.976155403885,-62.1416949981842,1.5658413038181749
11,92.73367346938775,23.212448979591837,-59.06940270787727,9806922.028566878,7092662.664611382,60683.63367849513,-61.72965661170243,2.660253903825158
12,92.74265306122449,23.225102040816328,-57.85663281839806,9805120.729241462,7095989.945024137,64467.2132276584,-60.92877761197281,3.0721447935747506
13,92.75163265306122,23.23775510204082,-57.27338579240911,9803318.060981164,7099315.257440715,68249.7144536376,-59.94638489760505,2.6729991051959416
14,92.76061224489796,23.250408163265305,-57.512376746421566,9801514.026425105,7102638.601519175,72031.13700914357,-59.04467341620855,1.5322966697869873
15,92.76959183673469,23.263061224489796,-58.577949779943914,9799708.628210707,7105959.97692189,75811.48054886478,-58.477600256569325,-0.10034952337458947
16,92.77857142857142,23.275714285714287,-60.29173275028991,9797901.86897367,7109279.38331551,79590.7447294457,-58.43024676588997,-1.8614859843999412
17,92.78755102040816,23.288367346938777,-62.3326730240242,9796093.751347972,7112596.820370975,83368.92920950124,-58.97412515191446,-3.358547872109746
18,92.7965306122449,23.301020408163264,-64.31884204752235,9794284.277965853,7115912.287763494,87146.03364960545,-60.05116002343518,-4.267682024087172
19,92.80551020408163,23.313673469387755,-65.89275431926472,9792473.451457823,7119225.785172543,90922.05771228782,-61.48772144457778,-4.405032874686945
20,92.81448979591838,23.326326530612246,-66.80186164863665,9790661.274452643,7122537.312281858,94697.00106203926,-63.03596892828028,-3.765892720356362
21,92.82346938775511,23.338979591836736,-66.94802082523458,9788847.749577323,7125846.868779411,98470.86336529009,-64.43098076916208,-2.517040056072503
22,92.83244897959185,23.351632653061223,-66.39541915010335,9787032.879457118,7129154.454357423,102243.64429042843,-65.44826183579764,-0.9471573143057128
23,92.84142857142858,23.364285714285714,-65.34961946201793,9785216.666715516,7132460.06871235,106015.34350779165,-65.95108624212993,0.6014667801120055
24,92.85040816326531,23.376938775510204,-64.09775969133025,9783399.113974243,7135763.711544863,109785.96068964942,-65.91423918276458,1.8164794914343219
25,92.85938775510205,23.389591836734695,-62.935999358926466,9781580.223853238,7139065.382559859,113555.49551022843,-65.42144668937486,2.4854473304483946
26,92.86836734693878,23.402244897959182,-62.10469975567839,9779759.998970669,7142365.08146643,117323.94764567445,-64.63858637388184,2.5338866182034465
27,92.87734693877552,23.414897959183673,-61.738211140499494,9777938.441942902,7145662.807977867,121091.31677407729,-63.77028475975931,2.032073619259819
28,92.88632653061225,23.427551020408163,-61.84549377613304,9776115.555384513,7148958.561811662,124857.60257546447,-63.011963864097595,1.166470087964555
29,92.89530612244899,23.440204081632654,-62.31860908416884,9774291.341908284,7152252.342689473,128622.80473177558,-62.50679546778941,0.18818638362056817
30,92.90428571428572,23.45285714285714,-62.97552219086021,9772465.804125175,7155544.150337144,132386.9229268938,-62.319755884377734,-0.6557663064824766
31,92.91326530612245,23.46551020408163,-63.61322585477451,9770638.944644343,7158833.98448468,136149.9568466187,-62.43262696701908,-1.1805988877554299
32,92.92224489795919,23.478163265306122,-64.06271446539918,9768810.766073123,7162121.844866238,139911.90617866532,-62.75896275197255,-1.3037517134266352
33,92.93122448979592,23.490816326530613,-64.24197280983772,9766981.271017017,7165407.73122013,143672.7706126766,-63.176256363528914,-1.0657164463088051
34,92.94020408163266,23.5034693877551,-64.17518722733207,9765150.462079704,7168691.643288799,147432.54984019697,-63.56453860539542,-0.6106486219366545
35,92.94918367346939,23.51612244897959,-63.996599475229026,9763318.341863016,7171973.580818822,151191.24355469024,-63.84420367057212,-0.15239580465690494
36,92.95816326530613,23.52877551020408,-63.91685689900176,9761484.912966948,7175253.543560908,154948.85145153254,-64.00109278859571,0.08423588959395545
37,92.96714285714286,23.541428571428572,-64.17634221174978,9759650.177989637,7178531.531269865,158705.37322799535,-64.09494551475825,-0.08139669699153274
38,92.9761224489796,23.55408163265306,-64.98569859780275,9757814.13952737,7181807.543704623,162460.80858326628,-64.24877620349218,-0.736922394310568
