,regional,residual
SWNE,13.11676429325444,1.7111845534388674
SENW,13.288550112106176,1.7781044038720533
EW1,12.514301537804469,1.668844839666106
EW2,10.583492610476542,1.6754595508911592
EW3,10.613056027651037,1.6649920812419619
NS,16.183852326162757,1.9109097246636841
avg,12.716669484575903,1.734915858962305
